provider_id,provider_name,programme_name,major_name,specialisation_name,study_stage,qualification_level,fee_year,student_type,tuition_fee_nzd,total_estimated_fee_nzd,fee_basis,calculation_method,source_link,last_checked,notes
7002.0,University of Waikato,"Bachelor of Health (BHealth) All major subjects: Health Promotion, Biomedical Sciences",,,Undergraduate,Bachelor,2026,International,36989.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 37; page_title=International tuition costs :: University of Waikato; raw=Bachelor of Health (BHealth) All major subjects: Health Promotion, Biomedical Sciences | $36,989 | $38,838"
7002.0,University of Waikato,"Bachelor of Laws (LLB) Single Major, Double Major, or with Honours",,,Undergraduate,Bachelor with Honours,2026,International,40165.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 38; page_title=International tuition costs :: University of Waikato; raw=Bachelor of Laws (LLB) Single Major, Double Major, or with Honours | $40,165 | $42,173"
7002.0,University of Waikato,"Bachelor of Music (BMus) All streams: Academic, Composition, Performance",,,Undergraduate,Bachelor,2026,International,42231.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 39; page_title=International tuition costs :: University of Waikato; raw=Bachelor of Music (BMus) All streams: Academic, Composition, Performance | $42,231 | $44,343"
7002.0,University of Waikato,"Bachelor of Science (BSc) All major subjects: Biomedical Sciences, Chemistry, Data Analytics, Earth sciences, Ecology and biodiversity, Environmental sciences, Marine Science, Materials science, Mathematics, Molecular and cellular biology or Psychology",,,Undergraduate,Bachelor,2026,International,42235.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 40; page_title=International tuition costs :: University of Waikato; raw=Bachelor of Science (BSc) All major subjects: Biomedical Sciences, Chemistry, Data Analytics, Earth sciences, Ecology and biodiversity, Environmental sciences, Marine Science, Materials science, Mathematics, Molecular and cellular biology or Psychology | $42,235 | $44,347"
7002.0,University of Waikato,"Bachelor of Science (Technology) (BSc(Tech)) All major subjects: Biomedical Sciences, Chemistry, Computer Science, Earth Sciences, Ecology and Biodiversity, Environmental Sciences, Materials Science, Marine Science, Molecular and Cellular Biology",,,Undergraduate,Bachelor,2026,International,42235.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 41; page_title=International tuition costs :: University of Waikato; raw=Bachelor of Science (Technology) (BSc(Tech)) All major subjects: Biomedical Sciences, Chemistry, Computer Science, Earth Sciences, Ecology and Biodiversity, Environmental Sciences, Materials Science, Marine Science, Molecular and Cellular Biology | $42,235 | $44,347"
7002.0,University of Waikato,Bachelor of Social Sciences (BSocSc),,,Undergraduate,Bachelor,2026,International,32400.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 42; page_title=International tuition costs :: University of Waikato; raw=Bachelor of Social Sciences (BSocSc) | $32,400 - $42,230 | $34,020 – $44,342"
7002.0,University of Waikato,BSocSc in Anthropology,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 43; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Anthropology | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Criminology,,,,,2026,International,42226.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 44; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Criminology | $42,226 | $44,337"
7002.0,University of Waikato,BSocSc in Digital Learning,,,,,2026,International,40219.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 45; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Digital Learning | $40,219 | $42,230"
7002.0,University of Waikato,BSocSc in Economics,,,,,2026,International,38252.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 46; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Economics | $38,252 | $40,165"
7002.0,University of Waikato,BSocSc in Education and Society,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 47; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Education and Society | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Environmental Planning,,,,,2026,International,42231.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 48; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Environmental Planning | $42,231 | $44,343"
7002.0,University of Waikato,BSocSc in Geography,,,,,2026,International,42231.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 49; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Geography | $42,231 | $44,343"
7002.0,University of Waikato,BSocSc in History,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 50; page_title=International tuition costs :: University of Waikato; raw=BSocSc in History | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Human Development,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 51; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Human Development | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Human Rights,,,,,2026,International,38252.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 52; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Human Rights | $38,252 | $40,165"
7002.0,University of Waikato,BSocSc in Law,,,,,2026,International,40165.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 53; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Law | $40,165 | $42,173"
7002.0,University of Waikato,BSocSc in Linguistics,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 54; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Linguistics | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Māori and Indigenous Studies,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 55; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Māori and Indigenous Studies | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Pacific and Indigenous Studies,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 56; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Pacific and Indigenous Studies | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Philosophy,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 57; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Philosophy | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Political Science,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 58; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Political Science | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Population Studies,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 59; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Population Studies | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Psychology,,,,,2026,International,42231.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 60; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Psychology | $42,231 | $44,343"
7002.0,University of Waikato,BSocSc in Screen and Media Studies,,,,,2026,International,40219.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 61; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Screen and Media Studies | $40,219 | $42,230"
7002.0,University of Waikato,BSocSc in Social Policy,,,,,2026,International,32441.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 62; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Social Policy | $32,441 | $34,063"
7002.0,University of Waikato,BSocSc in Sociology,,,,,2026,International,38252.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 63; page_title=International tuition costs :: University of Waikato; raw=BSocSc in Sociology | $38,252 | $40,165"
7002.0,University of Waikato,"Bachelor of Sport and Human Performance (BSHP) All major subjects: Healthy Active Living, Human Performance Science, Sport Development and Coaching",,,Undergraduate,Bachelor,2026,International,36989.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 64; page_title=International tuition costs :: University of Waikato; raw=Bachelor of Sport and Human Performance (BSHP) All major subjects: Healthy Active Living, Human Performance Science, Sport Development and Coaching | $36,989 | $38,838"
7002.0,University of Waikato,"Bachelor of Teaching (BTchg) All BTchg streams: Early childhood, Primary",,,Undergraduate,Bachelor,2026,International,37397.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 2, row 65; page_title=International tuition costs :: University of Waikato; raw=Bachelor of Teaching (BTchg) All BTchg streams: Early childhood, Primary | $37,397 | $39,267"
7002.0,University of Waikato,Master of Applied Finance,,,Postgraduate,Master,2026,International,59760.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 1; page_title=International tuition costs :: University of Waikato; raw=Master of Applied Finance | $59,760 | $62,748"
7002.0,University of Waikato,Master of Applied Psychology,,,Postgraduate,Master,2026,International,45920.0,,"per $45,920 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 2; page_title=International tuition costs :: University of Waikato; raw=Master of Applied Psychology | $45,920 | $48,216"
7002.0,University of Waikato,Master of Artificial Intelligence,,,Postgraduate,Master,2026,International,68370.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 3; page_title=International tuition costs :: University of Waikato; raw=Master of Artificial Intelligence | $68,370 | $71,789"
7002.0,University of Waikato,Master of Arts (including most MA majors except those listed below),,,Postgraduate,Master,2026,International,39580.0,,"per $39,580 - $45,920 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 4; page_title=International tuition costs :: University of Waikato; raw=Master of Arts (including most MA majors except those listed below) | $39,580 - $45,920 | $59,370 -$68,880 | $41,559 – $48,216 | $62,339 – $72,324"
7002.0,University of Waikato,Master of Business,,,Postgraduate,Master,2026,International,41180.0,,"per $41,180 points/credits",official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 5; page_title=International tuition costs :: University of Waikato; raw=Master of Business | $41,180 | $61,770 | $43,239 | $64,859"
7002.0,University of Waikato,Master of Business and Management,,,Postgraduate,Master,2026,International,59760.0,,,official_programme_estimate,https://www.waikato.ac.nz/int/study/fees-costs/international-tuition-costs/,2026-05-14,"International tuition costs page.; HTML table 3, row 6; page_title=International tuition costs :: University of Waikato; raw=Master of Business and Management | $59,760 | $62,748"
